generation,best_distance,avg_distance
0,2801.970545313478,3453.0717637492453
1,2524.621603807509,3300.9310047932945
2,2524.621603807509,3147.5077828598933
3,2524.621603807509,3090.6541650378745
4,2418.785182271882,2965.7982171115254
5,2390.6636151221633,2866.641535398124
6,2380.970738420082,2794.835405299348
7,2313.4014836269525,2747.2459253412917
8,2227.5082408582502,2694.4448393349803
9,2168.3267237084324,2622.7995492817076
10,2155.12848327296,2631.9534824064763
11,2155.12848327296,2590.380720705341
12,2091.59426602165,2577.2290227895387
13,2091.59426602165,2540.7810211012015
14,2091.59426602165,2528.7549147159416
15,2091.59426602165,2478.200940905291
16,2091.59426602165,2458.4739832729197
17,2091.59426602165,2481.155113725599
18,2091.59426602165,2478.7743542944013
19,2091.59426602165,2467.8764238360923
20,2044.6438374351662,2473.175852078667
21,1958.8413379420103,2452.009065433742
22,1958.8413379420103,2414.0417291252197
23,1958.8413379420103,2373.616922706088
24,1958.8413379420103,2345.721838420985
25,1875.1244319492791,2339.972147177952
26,1875.1244319492791,2322.859559649347
27,1807.027006534322,2283.415991528991
28,1807.027006534322,2296.457367105197
29,1807.027006534322,2249.6595059063993
30,1807.027006534322,2262.971650528119
31,1807.027006534322,2237.687407425424
32,1807.027006534322,2222.2686167322795
33,1807.027006534322,2165.7611654739967
34,1807.027006534322,2130.6190916968626
35,1739.8633000323882,2163.1980819709306
36,1739.8633000323882,2173.3312914577164
37,1739.8633000323882,2198.2017427734063
38,1739.8633000323882,2212.073029272713
39,1739.8633000323882,2237.165982133377
40,1739.8633000323882,2237.9193534359383
41,1739.8633000323882,2232.9482000744883
42,1739.8633000323882,2172.9274414758
43,1739.8633000323882,2145.4069579491347
44,1739.8633000323882,2121.936938423118
45,1739.8633000323882,2113.163277183139
46,1739.8633000323882,2146.288362867335
47,1705.527741735835,2149.3192182058237
48,1705.527741735835,2158.354664005911
49,1705.527741735835,2158.791884006226
50,1705.527741735835,2132.903620759357
51,1705.527741735835,2115.9263816384178
52,1705.2783513201616,2109.580505726086
53,1705.2783513201616,2128.854181976423
54,1705.2783513201616,2089.4655516044954
55,1705.2783513201616,2051.9233365107775
56,1705.2783513201616,2050.00428271268
57,1705.2783513201616,2078.0622037648836
58,1705.2783513201616,2059.2034420140963
59,1705.2783513201616,2112.0796082830307
60,1705.2783513201616,2097.6237048750218
61,1705.2783513201616,2102.7478584767723
62,1705.2783513201616,2112.9510351909953
63,1705.2783513201616,2119.897036057622
64,1705.2783513201616,2095.461951278239
65,1705.2783513201616,2067.210114627095
66,1697.6846191943362,2046.5580428841865
67,1697.6846191943362,2029.2005252465053
68,1697.6846191943362,2058.9063078591153
69,1658.7619755595842,2028.9766764143174
70,1658.7619755595842,1978.0962682330455
71,1658.7619755595842,2063.206229673224
72,1658.7619755595842,2023.47603423513
73,1658.7619755595842,2020.8187273269232
74,1658.7619755595842,2031.9704852848602
75,1658.7619755595842,2049.3852775738615
76,1658.7619755595842,2080.311847122851
77,1658.7619755595842,2092.4261893592934
78,1658.7619755595842,2080.7792210135362
79,1658.7619755595842,2124.3433021500477
80,1658.7619755595842,2100.3130919055234
81,1658.7619755595842,2087.5602620239215
